ContractName,Date,OpenSharePrice,HighSharePrice,LowSharePrice,CloseSharePrice,TradeVolume
Republican,7/12/2020 12:00:00 AM,$0.87,$0.87,$0.86,$0.87,57
Democratic,7/12/2020 12:00:00 AM,$0.13,$0.13,$0.13,$0.13,122
Republican,7/13/2020 12:00:00 AM,$0.87,$0.87,$0.87,$0.87,15
Democratic,7/13/2020 12:00:00 AM,$0.13,$0.14,$0.13,$0.14,107
Republican,7/14/2020 12:00:00 AM,$0.87,$0.87,$0.87,$0.87,487
Democratic,7/14/2020 12:00:00 AM,$0.14,$0.14,$0.14,$0.14,27
Republican,7/15/2020 12:00:00 AM,$0.87,$0.88,$0.87,$0.87,1031
Democratic,7/15/2020 12:00:00 AM,$0.14,$0.15,$0.13,$0.15,231
Republican,7/16/2020 12:00:00 AM,$0.87,$0.88,$0.86,$0.86,2
Democratic,7/16/2020 12:00:00 AM,$0.15,$0.15,$0.13,$0.15,65
Republican,7/17/2020 12:00:00 AM,$0.86,$0.88,$0.86,$0.86,79
Democratic,7/17/2020 12:00:00 AM,$0.15,$0.15,$0.15,$0.15,1
Republican,7/18/2020 12:00:00 AM,$0.86,$0.87,$0.86,$0.86,1075
Democratic,7/18/2020 12:00:00 AM,$0.15,$0.15,$0.12,$0.13,416
Republican,7/19/2020 12:00:00 AM,$0.86,$0.86,$0.86,$0.86,0
Democratic,7/19/2020 12:00:00 AM,$0.13,$0.13,$0.13,$0.13,0
Republican,7/20/2020 12:00:00 AM,$0.86,$0.87,$0.86,$0.87,764
Democratic,7/20/2020 12:00:00 AM,$0.13,$0.14,$0.13,$0.14,76
Republican,7/21/2020 12:00:00 AM,$0.87,$0.87,$0.85,$0.85,1
Democratic,7/21/2020 12:00:00 AM,$0.14,$0.15,$0.13,$0.14,158
Republican,7/22/2020 12:00:00 AM,$0.85,$0.88,$0.85,$0.87,1492
Democratic,7/22/2020 12:00:00 AM,$0.14,$0.15,$0.11,$0.13,1506
Republican,7/23/2020 12:00:00 AM,$0.87,$0.88,$0.86,$0.88,463
Democratic,7/23/2020 12:00:00 AM,$0.13,$0.14,$0.12,$0.14,99
Republican,7/24/2020 12:00:00 AM,$0.88,$0.88,$0.88,$0.88,1
Democratic,7/24/2020 12:00:00 AM,$0.14,$0.14,$0.13,$0.13,50
Republican,7/25/2020 12:00:00 AM,$0.88,$0.88,$0.88,$0.88,10
Democratic,7/25/2020 12:00:00 AM,$0.13,$0.14,$0.13,$0.13,455
Republican,7/26/2020 12:00:00 AM,$0.88,$0.88,$0.87,$0.87,815
Democratic,7/26/2020 12:00:00 AM,$0.13,$0.13,$0.12,$0.12,101
Republican,7/27/2020 12:00:00 AM,$0.87,$0.87,$0.87,$0.87,0
Democratic,7/27/2020 12:00:00 AM,$0.12,$0.12,$0.12,$0.12,0
Republican,7/28/2020 12:00:00 AM,$0.87,$0.90,$0.87,$0.90,1033
Democratic,7/28/2020 12:00:00 AM,$0.12,$0.12,$0.11,$0.11,1111
Republican,7/29/2020 12:00:00 AM,$0.90,$0.90,$0.89,$0.90,890
Democratic,7/29/2020 12:00:00 AM,$0.11,$0.12,$0.10,$0.12,1495
Republican,7/30/2020 12:00:00 AM,$0.90,$0.90,$0.88,$0.89,1697
Democratic,7/30/2020 12:00:00 AM,$0.12,$0.12,$0.10,$0.11,128
Republican,7/31/2020 12:00:00 AM,$0.89,$0.89,$0.89,$0.89,56
Democratic,7/31/2020 12:00:00 AM,$0.11,$0.11,$0.11,$0.11,0
Republican,8/1/2020 12:00:00 AM,$0.89,$0.89,$0.89,$0.89,251
Democratic,8/1/2020 12:00:00 AM,$0.11,$0.12,$0.10,$0.12,129
Republican,8/2/2020 12:00:00 AM,$0.89,$0.89,$0.88,$0.89,32
Democratic,8/2/2020 12:00:00 AM,$0.12,$0.12,$0.11,$0.12,115
Republican,8/3/2020 12:00:00 AM,$0.89,$0.89,$0.88,$0.88,13
Democratic,8/3/2020 12:00:00 AM,$0.12,$0.12,$0.10,$0.10,140
Republican,8/4/2020 12:00:00 AM,$0.88,$0.90,$0.88,$0.90,523
Democratic,8/4/2020 12:00:00 AM,$0.10,$0.12,$0.10,$0.12,1
Republican,8/5/2020 12:00:00 AM,$0.90,$0.90,$0.89,$0.89,484
Democratic,8/5/2020 12:00:00 AM,$0.12,$0.12,$0.10,$0.10,7
Republican,8/6/2020 12:00:00 AM,$0.89,$0.90,$0.89,$0.89,67
Democratic,8/6/2020 12:00:00 AM,$0.10,$0.10,$0.10,$0.10,0
Republican,8/7/2020 12:00:00 AM,$0.89,$0.91,$0.89,$0.91,2457
Democratic,8/7/2020 12:00:00 AM,$0.10,$0.11,$0.10,$0.10,1356
Republican,8/8/2020 12:00:00 AM,$0.91,$0.92,$0.91,$0.91,1030
Democratic,8/8/2020 12:00:00 AM,$0.10,$0.10,$0.10,$0.10,951
Republican,8/9/2020 12:00:00 AM,$0.91,$0.92,$0.91,$0.91,167
Democratic,8/9/2020 12:00:00 AM,$0.10,$0.11,$0.10,$0.11,242
Republican,8/10/2020 12:00:00 AM,$0.91,$0.92,$0.91,$0.91,16
Democratic,8/10/2020 12:00:00 AM,$0.11,$0.11,$0.10,$0.10,495
Republican,8/11/2020 12:00:00 AM,$0.91,$0.92,$0.90,$0.92,539
Democratic,8/11/2020 12:00:00 AM,$0.10,$0.10,$0.09,$0.10,460
Republican,8/12/2020 12:00:00 AM,$0.92,$0.92,$0.91,$0.91,181
Democratic,8/12/2020 12:00:00 AM,$0.10,$0.10,$0.08,$0.10,558
Republican,8/13/2020 12:00:00 AM,$0.91,$0.92,$0.91,$0.91,571
Democratic,8/13/2020 12:00:00 AM,$0.10,$0.10,$0.08,$0.08,313
Republican,8/14/2020 12:00:00 AM,$0.91,$0.92,$0.91,$0.92,27
Democratic,8/14/2020 12:00:00 AM,$0.08,$0.09,$0.08,$0.09,287
Republican,8/15/2020 12:00:00 AM,$0.92,$0.92,$0.91,$0.91,357
Democratic,8/15/2020 12:00:00 AM,$0.09,$0.09,$0.08,$0.09,122
Republican,8/16/2020 12:00:00 AM,$0.91,$0.92,$0.91,$0.92,924
Democratic,8/16/2020 12:00:00 AM,$0.09,$0.09,$0.08,$0.08,535
Republican,8/17/2020 12:00:00 AM,$0.92,$0.92,$0.91,$0.91,103
Democratic,8/17/2020 12:00:00 AM,$0.08,$0.10,$0.08,$0.09,35
Republican,8/18/2020 12:00:00 AM,$0.91,$0.92,$0.91,$0.92,185
Democratic,8/18/2020 12:00:00 AM,$0.09,$0.09,$0.08,$0.08,172
Republican,8/19/2020 12:00:00 AM,$0.92,$0.93,$0.91,$0.93,1015
Democratic,8/19/2020 12:00:00 AM,$0.08,$0.09,$0.07,$0.07,1401
Republican,8/20/2020 12:00:00 AM,$0.93,$0.94,$0.92,$0.94,1309
Democratic,8/20/2020 12:00:00 AM,$0.07,$0.08,$0.07,$0.07,997
Republican,8/21/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.93,69
Democratic,8/21/2020 12:00:00 AM,$0.07,$0.08,$0.07,$0.08,316
Republican,8/22/2020 12:00:00 AM,$0.93,$0.93,$0.92,$0.93,3
Democratic,8/22/2020 12:00:00 AM,$0.08,$0.08,$0.07,$0.07,36
Republican,8/23/2020 12:00:00 AM,$0.93,$0.93,$0.92,$0.93,115
Democratic,8/23/2020 12:00:00 AM,$0.07,$0.07,$0.07,$0.07,1213
Republican,8/24/2020 12:00:00 AM,$0.93,$0.93,$0.92,$0.93,896
Democratic,8/24/2020 12:00:00 AM,$0.07,$0.08,$0.07,$0.08,650
Republican,8/25/2020 12:00:00 AM,$0.93,$0.94,$0.92,$0.93,509
Democratic,8/25/2020 12:00:00 AM,$0.08,$0.08,$0.07,$0.07,864
Republican,8/26/2020 12:00:00 AM,$0.93,$0.94,$0.92,$0.92,851
Democratic,8/26/2020 12:00:00 AM,$0.07,$0.08,$0.07,$0.07,726
Republican,8/27/2020 12:00:00 AM,$0.92,$0.94,$0.92,$0.94,156
Democratic,8/27/2020 12:00:00 AM,$0.07,$0.08,$0.07,$0.07,223
Republican,8/28/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.93,185
Democratic,8/28/2020 12:00:00 AM,$0.07,$0.08,$0.07,$0.08,588
Republican,8/29/2020 12:00:00 AM,$0.93,$0.93,$0.92,$0.92,207
Democratic,8/29/2020 12:00:00 AM,$0.08,$0.08,$0.07,$0.07,132
Republican,8/30/2020 12:00:00 AM,$0.92,$0.94,$0.92,$0.93,8
Democratic,8/30/2020 12:00:00 AM,$0.07,$0.08,$0.07,$0.08,12
Republican,8/31/2020 12:00:00 AM,$0.93,$0.94,$0.93,$0.93,101
Democratic,8/31/2020 12:00:00 AM,$0.08,$0.08,$0.07,$0.08,155
Republican,9/1/2020 12:00:00 AM,$0.93,$0.93,$0.93,$0.93,88
Democratic,9/1/2020 12:00:00 AM,$0.08,$0.08,$0.08,$0.08,300
Republican,9/2/2020 12:00:00 AM,$0.93,$0.94,$0.93,$0.94,416
Democratic,9/2/2020 12:00:00 AM,$0.08,$0.08,$0.07,$0.08,389
Republican,9/3/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.94,177
Democratic,9/3/2020 12:00:00 AM,$0.08,$0.08,$0.07,$0.08,158
Republican,9/4/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.94,133
Democratic,9/4/2020 12:00:00 AM,$0.08,$0.08,$0.07,$0.08,255
Republican,9/5/2020 12:00:00 AM,$0.94,$0.94,$0.93,$0.93,102
Democratic,9/5/2020 12:00:00 AM,$0.08,$0.08,$0.07,$0.07,132
Republican,9/6/2020 12:00:00 AM,$0.93,$0.94,$0.93,$0.94,12
Democratic,9/6/2020 12:00:00 AM,$0.07,$0.08,$0.07,$0.07,222
Republican,9/7/2020 12:00:00 AM,$0.94,$0.94,$0.94,$0.94,0
